WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
68,3,4,3,11,1,2,1,1,0,0,5,1,3,4110,36,
71,2,4,2,7,1,3,1,1,1,1,8,1,2,4110,36,
53,4,4,3,2,1,1,1,1,0,1,1,0,2,4110,36,
177,0,5,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
63,2,5,2,2,1,1,1,1,2,0,4,2,2,4110,36,
85,3,4,2,3,1,3,1,1,0,1,7,0,3,4110,36,
171,4,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
128,1,4,2,5,1,6,1,1,1,0,0,1,3,4110,36,
81,4,11,4,1,1,1,1,1,0,1,1,0,1,4110,36,
138,3,3,1,1,1,1,1,1,0,1,2,0,3,4110,36,
76,3,5,2,2,1,1,1,1,0,0,1,0,3,4110,36,
162,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
163,3,5,3,12,1,5,1,1,0,0,0,0,3,4110,36,
135,1,5,2,5,1,6,1,1,1,0,0,1,2,4110,36,
40,2,3,1,2,1,1,1,1,0,0,1,0,3,4110,36,
36,2,6,3,2,1,1,1,1,2,0,4,2,2,4110,36,
181,1,10,3,5,1,6,1,1,0,0,0,0,1,4110,36,
88,4,4,1,1,1,1,1,1,0,1,2,0,2,4110,36,
56,6,7,3,7,1,3,1,1,1,1,7,2,1,4110,36,
49,1,8,3,9,1,4,3,1,1,0,0,1,1,4110,36,
84,2,1,0,4,1,5,1,1,0,0,0,0,3,4110,36,
98,3,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
259,6,4,2,1,1,1,3,1,0,1,1,0,3,4110,36,
43,1,10,2,5,1,6,1,1,0,0,0,0,2,4110,36,
33,5,6,3,1,1,1,1,1,0,1,1,0,1,4110,36,
73,1,6,3,5,1,6,3,1,1,0,0,1,2,4110,36,
74,5,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
39,2,5,1,7,1,3,3,1,2,0,8,2,1,4110,36,
61,0,4,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
68,1,8,2,5,1,6,1,1,0,0,0,0,3,4110,36,
37,2,4,1,2,1,1,1,1,2,0,4,2,2,4110,36,
42,2,6,2,8,1,7,1,1,0,0,0,0,2,4110,36,
68,2,2,1,2,1,1,1,1,0,0,1,0,3,4110,36,
79,4,5,3,2,1,1,1,1,0,0,1,0,3,4110,36,
66,4,5,2,2,1,1,1,1,0,0,1,0,2,4110,36,
75,1,6,2,9,1,4,1,1,1,0,0,1,2,4110,36,
46,2,5,2,2,1,1,1,1,2,0,4,2,1,4110,36,
125,0,7,4,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
35,2,8,3,8,1,7,1,1,1,0,0,1,2,4110,36,
70,4,16,5,8,1,7,1,1,2,0,0,2,2,4110,36,
56,5,9,6,2,1,1,1,1,2,0,1,2,1,4110,36,
42,1,3,2,5,1,6,1,1,1,0,0,1,2,4110,36,
67,3,6,3,2,1,1,1,1,1,0,1,2,3,4110,36,
161,4,4,1,11,1,2,1,1,0,1,5,0,3,4110,36,
169,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
213,1,5,3,5,1,6,1,1,1,0,0,1,1,4110,36,
92,1,2,1,9,1,4,1,1,0,0,0,0,3,4110,36,
75,1,1,0,9,1,4,1,1,0,0,0,0,3,4110,36,
42,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
66,3,3,2,1,1,1,1,1,0,1,1,0,1,4110,36,
66,4,6,3,11,1,2,2,1,1,0,6,1,2,4110,36,
76,4,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
40,2,6,3,2,1,1,1,1,2,0,3,2,2,4110,36,
62,6,7,5,2,1,1,1,1,0,0,2,1,2,4110,36,
30,2,7,3,2,1,1,1,1,2,0,4,2,2,4110,36,
63,5,5,3,3,1,3,1,1,0,1,7,0,3,4110,36,
58,5,8,4,2,1,1,1,1,2,0,2,2,1,4110,36,
60,3,6,3,1,1,1,1,1,0,1,1,0,2,4110,36,
41,0,1,0,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
33,4,6,4,2,1,1,1,1,0,0,3,0,1,4110,36,
79,1,4,3,9,1,4,1,1,0,0,0,0,3,4110,36,
103,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
106,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
57,3,5,3,11,1,2,1,1,1,0,6,1,3,4110,36,
111,1,5,2,5,1,6,3,1,1,0,0,1,2,4110,36,
36,2,5,1,4,1,7,1,1,0,0,0,0,3,4110,36,
